,title,firstimage,cat1,cat2,cat3,addr1,mapx,mapy,overview,Rating,Reviews,overview_prep,tokenizing
0,가시리국산화풍력발전단지,http://tong.visitkorea.or.kr/cms/resource/95/3026695_image2_1.jpg,A02,A0204,A02040400,제주특별자치도 서귀포시 표선면 녹산로 464-78,126.7341100468,33.3939370848,"제주도 서귀포시 동남쪽 끝에 위치한 표선면 가시리는 제주도 내에서 아직 개발되지 않은 지역이라고 할 수 있는데 2009년 1월 국내 최초 지역주민 참여 방식으로 진행된 풍력발전단지  부지 선정 공모에서 최종 부지로 낙점됨에 따라 마을이 새롭게 변화되어 가고 있다. 가시리국산화풍력발전단지는 광활한 평원에 유채꽃단지가 조성되어 있는 가시리 공동목장에 들어서 있다. 봄이 되면 유채꽃과 벚꽃의 콜라보레이션을 즐길 수 있는 가시리마을 10경 중 제1경으로 꼽히는 드라이브 코스로 유명한 녹산로 유채꽃길과 가까운 곳에 있다. 이곳 바람들판의 가을녁엔 빛나는 억새의 향연과 커다란 풍력발전기가 돌아가는 풍경을 볼 수 있는데 이국적인 아름다움을 선사한다.
사람보다 큰 빨강 파랑 의자와 액자 사진 포인트는 SNS 포토존으로 인기가 있다. 오름들이 붉게 물드는 저녁의 가을 분위기를 만끽하고 싶다면 이곳에 들러 멋진 인생 사진도 남길 수 있으니 표선면 여행시 방문해 보길 추천한다.

봄에는 광활하게 펼쳐진 푸르름과 노란 유채꽃으로 가슴이 탁 트이고, 풍력발전기를 지나 제주 큰사슴이오름이 보이는 곳인 가시리 바람들판은 TV프로그램 바퀴 달린 집4 제주편에서 출연진들이 연날리기를 했던 장소이기도 하니, 이곳에서 연을 날리며 각자 주인공이 되어 보는 것도 좋겠다. 근처에 함께 들르면 좋은 장소로는 조랑말체험공원이 있다.
이곳에서는 뒤로 보이는 풍력발전단지를 배경 삼아 한라산과 돌담과 어우러진 제주 조랑말들과 소들이 평온하게 풀을 뜯어 먹는 장면을 즐길 수 있다. 픙력단지 입구 왼쪽으로는 유채꽃프라자(1층 카페. 2층은 숙박)로 가는 길이고 이곳에서 차 한잔하며 카페 계단으로 올라가서 보는 목가적인 경치도 좋다. 카페 뒤쪽에도 유채꽃 단지가 있다.",4.7,(3),제주도 서귀포시 동남쪽 끝에 위치한 표선면 가시리는 제주도 내에서 아직 개발되지 않은 지역이라고 할 수 있는데 년 월 국내 최초 지역주민 참여 방식으로 진행된 풍력발전단지  부지 선정 공모에서 최종 부지로 낙점됨에 따라 마을이 새롭게 변화되어 가고 있다 가시리국산화풍력발전단지는 광활한 평원에 유채꽃단지가 조성되어 있는 가시리 공동목장에 들어서 있다 봄이 되면 유채꽃과 벚꽃의 콜라보레이션을 즐길 수 있는 가시리마을 경 중 제경으로 꼽히는 드라이브 코스로 유명한 녹산로 유채꽃길과 가까운 곳에 있다 이곳 바람들판의 가을녁엔 빛나는 억새의 향연과 커다란 풍력발전기가 돌아가는 풍경을 볼 수 있는데 이국적인 아름다움을 선사한다사람보다 큰 빨강 파랑 의자와 액자 사진 포인트는  포토존으로 인기가 있다 오름들이 붉게 물드는 저녁의 가을 분위기를 만끽하고 싶다면 이곳에 들러 멋진 인생 사진도 남길 수 있으니 표선면 여행시 방문해 보길 추천한다봄에는 광활하게 펼쳐진 푸르름과 노란 유채꽃으로 가슴이 탁 트이고 풍력발전기를 지나 제주 큰사슴이오름이 보이는 곳인 가시리 바람들판은 프로그램 바퀴 달린 집 제주편에서 출연진들이 연날리기를 했던 장소이기도 하니 이곳에서 연을 날리며 각자 주인공이 되어 보는 것도 좋겠다 근처에 함께 들르면 좋은 장소로는 조랑말체험공원이 있다이곳에서는 뒤로 보이는 풍력발전단지를 배경 삼아 한라산과 돌담과 어우러진 제주 조랑말들과 소들이 평온하게 풀을 뜯어 먹는 장면을 즐길 수 있다 픙력단지 입구 왼쪽으로는 유채꽃프라자층 카페 층은 숙박로 가는 길이고 이곳에서 차 한잔하며 카페 계단으로 올라가서 보는 목가적인 경치도 좋다 카페 뒤쪽에도 유채꽃 단지가 있다,서귀포시 동남쪽 끝 위치 표선면 가시리 개발 지역 년 국내 최초 지역 주민 참여 방식 진행 풍력발전 단지 부지 선정 공모 최종 부지 낙점 마을 새롭다 변화 가시리 국산 풍력발전 단지 광활하다 평원 유채꽃 단지 조성 가시리 목장 봄 유채꽃 벚꽃 콜라보레이션 가시리 마을 경 경 드라이브 코스 유명하다 녹 유채꽃 길 가깝다 바람 들판 가을녁 억새 향연 커다랗다 풍력 발전기 풍경 볼 국적 아름답다 움 선사 사람 빨강 파랑 의자 액자 사진 포인트 포토 존 인기 오름 붉다 저녁 가을 분위기 만끽 멋지다 인생 사진 표선면 행시 방문 추천 봄 광활하다 푸르름 노랗다 유채꽃 가슴 탁 풍력발전 지나 사슴 오름 가시리 바람 들판 프로그램 바퀴 집 편 출연 진 연날리기 장소 하니 연 각자 주인공 근처 장소 조랑말 체험 공원 뒤 풍력발전 단지 배경 한라산 돌담 조랑말 소 평온하다 풀 장면 픙력단 입구 왼쪽 유채꽃 프라자 카페 숙박 로 길이 차 한잔 카페 계단 목 적 경치 카페 뒤쪽 유채꽃 단지
1,갈중이(천연염색체험),https://blog.kakaocdn.net/dn/Hh733/btrcA1znbC9/m3cFIkMBMYyJlnHe7WBiN1/img.gif,A02,A0203,A02030200,제주특별자치도 서귀포시 사계남로216번길 24-61 갈중이,126.3136584209,33.235142398,"갈옷은 제주도에서 구하기 쉬운 감을 이용해 만든 옷을 말하며 제주에서 일상복으로 즐겨 입던 제주 전통 의상이다. 갈옷은 자외선 차단 효과와 통기성이 뛰어나며 탁월한 향균, 향취 작용 등 우수한 효능으로 민감한 피부에도 좋다고 알려져 있다. 
갈중이 천연염색은 감 재배부터 감옷 제조와 판매, 나아가 감옷 만들기 체험장을 운영하는 곳이다. 3대에 걸쳐 제주 전통 옷이자 문화유산인 갈옷을 지켜나가고 있는 곳이며 모든 공정을 제주 현지에서 직접하고 있다. 사계리 산방산 아래에 있으며 갈중이 현관 앞으로는 돌하르방이 놓여 있고 입구에 들어서면 감물 원단을 볼 수 있다. 뒤편 잔디밭은 감물 체험이 이루어지는 공간인 갈중이 천연 염색체험 마당이 있으며, 또 이곳에서 생산된  소품을 비롯한 갈옷 외에 감물과 쑥물로 염색된 침구 등도 구매가 가능하다. 
5인 이상 관광객 및 단체에 한하여 사전 예약제로 운영하므로 방문 전 예약은 필수다.",4.6,(7),갈옷은 제주도에서 구하기 쉬운 감을 이용해 만든 옷을 말하며 제주에서 일상복으로 즐겨 입던 제주 전통 의상이다 갈옷은 자외선 차단 효과와 통기성이 뛰어나며 탁월한 향균 향취 작용 등 우수한 효능으로 민감한 피부에도 좋다고 알려져 있다 갈중이 천연염색은 감 재배부터 감옷 제조와 판매 나아가 감옷 만들기 체험장을 운영하는 곳이다 대에 걸쳐 제주 전통 옷이자 문화유산인 갈옷을 지켜나가고 있는 곳이며 모든 공정을 제주 현지에서 직접하고 있다 사계리 산방산 아래에 있으며 갈중이 현관 앞으로는 돌하르방이 놓여 있고 입구에 들어서면 감물 원단을 볼 수 있다 뒤편 잔디밭은 감물 체험이 이루어지는 공간인 갈중이 천연 염색체험 마당이 있으며 또 이곳에서 생산된  소품을 비롯한 갈옷 외에 감물과 쑥물로 염색된 침구 등도 구매가 가능하다 인 이상 관광객 및 단체에 한하여 사전 예약제로 운영하므로 방문 전 예약은 필수다,갈옷 구 쉽다 감 이용 옷 말 상복 전통 의상 갈옷 자외선 차단 효과 통 기성 뛰어나다 탁월하다 향균 향취 작용 우수하다 효능 민감하다 피부 염색 감 재배 감옷 제조 판매 감옷 만들기 체험 운영 전통 옷 이자 문화유산 갈옷 모든 공정 현지 직접 산방산 아래 현관 앞 돌하르방 입구 감물 원단 볼 뒤편 잔디밭 감물 체험 공간 천연 염색 체험 마당 또 생산 소품 비롯 갈옷 감물 쑥물 염색 침구 구매 가능하다 이상 관광객 및 단체 사전 예약 제로 운영 방문 전 예약 필수
2,감귤박물관,http://tong.visitkorea.or.kr/cms/resource/68/2364368_image2_1.jpg,A02,A0206,A02060100,제주특별자치도 서귀포시 효돈순환로 441,126.6080904173,33.2711819574,"서귀포 감귤 박물관은 제주 특산물인 감귤을 테마로 감귤의 세계를 한눈에 보고, 느끼고, 체험할 수 있도록 개관한 공립 전문 박물관이다. 감귤의 역사와 문화, 산업과 노동 현장을 엿볼 수 있는 의미 있는 전시 등을 통해 제주인의 삶의 모습을 반추해 볼 수 있다. 감귤의 발생, 역사와 종류, 재배방법 등을 다양한 패널과 영상으로 구성하고, 유리온실에는 전 세계 84 품종의 감귤류를 식재 전시하여 사계절 싱싱한 감귤(생과)을 감상할 수 있도록 조성되어 감귤에 관한 모든 것을 체험하고 배울 수 있는 곳이다.",4.0,"(1,475)",서귀포 감귤 박물관은 제주 특산물인 감귤을 테마로 감귤의 세계를 한눈에 보고 느끼고 체험할 수 있도록 개관한 공립 전문 박물관이다 감귤의 역사와 문화 산업과 노동 현장을 엿볼 수 있는 의미 있는 전시 등을 통해 제주인의 삶의 모습을 반추해 볼 수 있다 감귤의 발생 역사와 종류 재배방법 등을 다양한 패널과 영상으로 구성하고 유리온실에는 전 세계  품종의 감귤류를 식재 전시하여 사계절 싱싱한 감귤생과을 감상할 수 있도록 조성되어 감귤에 관한 모든 것을 체험하고 배울 수 있는 곳이다,서귀포 감귤 박물관 특산 물 감귤 테마 감귤 세계 한눈 보고 체험 개관 공립 전문 박물관 감귤 역사 문화 산업 노동 현장 의미 전시 통해 삶 모습 반추 볼 감귤 역사 종류 재배 방법 다양하다 패널 영상 구성 유리 온실 전 세계 품종 감귤류 전시 사계절 싱싱하다 감귤 생 감상 조성 감귤 관 모든 체험
3,감사공묘역,http://tong.visitkorea.or.kr/cms/resource/96/3082296_image2_1.jpg,A02,A0201,A02010700,제주특별자치도 제주시 조천읍 함대로 362,126.6611469938,33.5129949735,"조천읍 함덕리에 있는 감사공묘역은 조선 초기 한림학사와 전라감사를 역임한 영암 강영 선생의 묘역이다. 강영은 태조 7년(1398) 이방원이 일으킨 왕자의 난 때 왕위 계승 문제로 신덕왕후 소생 이방번과 이방석이 화를 입자, 1402년 제주도로 피신한 후 조천읍 함덕리에 정착하여 한림학사의 해박한 지식으로 지역주민 교육과 후진 양성에 기여하다 생을 마쳤다. 묘역 안에는 조천서원, 개명당 등의 건물이 있으며 봄철 겹벚꽃이 아름다워 이를 보기 위해 관광객이 많이 찾는 곳이며, 스냅사진 촬영 장소로도 인기가 있다.",5.0,(6),조천읍 함덕리에 있는 감사공묘역은 조선 초기 한림학사와 전라감사를 역임한 영암 강영 선생의 묘역이다 강영은 태조 년 이방원이 일으킨 왕자의 난 때 왕위 계승 문제로 신덕왕후 소생 이방번과 이방석이 화를 입자 년 제주도로 피신한 후 조천읍 함덕리에 정착하여 한림학사의 해박한 지식으로 지역주민 교육과 후진 양성에 기여하다 생을 마쳤다 묘역 안에는 조천서원 개명당 등의 건물이 있으며 봄철 겹벚꽃이 아름다워 이를 보기 위해 관광객이 많이 찾는 곳이며 스냅사진 촬영 장소로도 인기가 있다,조천읍 함덕 감사 묘역 조선 초기 한림 학사 전라 감사 역임 영암 강영 선생 묘역 강영은 태조 년 이방원 왕자 난 때 왕위 계승 문제 신덕왕후 소생 이방번 이방석 화 입자 년 피신 조천읍 함덕 정착 한림 학사 해박 지식 지역 주민 교육 후진 양성 기여 생 묘역 안 서원 개명 건물 봄철 겹 벚꽃 아름답다 보기 관광객 스냅 사진 촬영 장소 인기
4,감수굴 밭담길,http://tong.visitkorea.or.kr/cms/resource/82/3056382_image2_1.jpg,A02,A0203,A02030100,제주특별자치도 제주시 구좌읍 평대7길 34,126.8432807691,33.5310570194,"평대리 중동에 위치한 감수굴 밭담길은 고즈넉한 마을의 옛 정취 그대로의 풍경을 즐기며 산책하기 좋은 길이다. 평대리 중동마을회관에서 출발하며, 약 1.5km 코스로 30분 정도 소요된다. 밭담은 화산섬인 제주도에서 경작을 위해 밭을 개간하면서 흩어져 있는 돌들을 밭 옆에 쌓은 담으로, 밭담의 돌들이 얼기설기 물려있고, 틈새가 있어 태풍에도 무너지지 않으며, 바람으로부터 농작물을 보호하고, 가축의 침입을 예방하기 위하여 쌓았다. 
감수굴 밭담길에는 감수굴 우물이 있다. 우물의 물맛이 좋아 감수라 이름이 붙었다고 한다. 감수굴 밭담길은 제주 돌담과 농촌의 문화, 환경을 체험하고, 지역홍보 활성화를 위해 난미 밭담길, 진빌레 밭담길, 물메 밭담길, 어멍아방 밭담길 등과 함께 제주 8대 밭담길로 지정되어 있다.",4.5,(2),평대리 중동에 위치한 감수굴 밭담길은 고즈넉한 마을의 옛 정취 그대로의 풍경을 즐기며 산책하기 좋은 길이다 평대리 중동마을회관에서 출발하며 약  코스로 분 정도 소요된다 밭담은 화산섬인 제주도에서 경작을 위해 밭을 개간하면서 흩어져 있는 돌들을 밭 옆에 쌓은 담으로 밭담의 돌들이 얼기설기 물려있고 틈새가 있어 태풍에도 무너지지 않으며 바람으로부터 농작물을 보호하고 가축의 침입을 예방하기 위하여 쌓았다 감수굴 밭담길에는 감수굴 우물이 있다 우물의 물맛이 좋아 감수라 이름이 붙었다고 한다 감수굴 밭담길은 제주 돌담과 농촌의 문화 환경을 체험하고 지역홍보 활성화를 위해 난미 밭담길 진빌레 밭담길 물메 밭담길 어멍아방 밭담길 등과 함께 제주 대 밭담길로 지정되어 있다,평 대리 중동 위치 감수 굴 밭 넉 마을 정취 풍경 산책 길이 평 대리 중동 마을 회관 출발 약 코스 정도 소요 밭 화산섬 경작 밭 개간 돌 밭 옆 담 밭담 돌 얼기설기 틈새 태풍 바람 농작물 보호 가축 침입 예방 감수 굴 밭 감수 굴 우물 우물 물맛 감수 이름 감수 굴 밭 돌담 농촌 문화 환경 체험 지역 홍보 활성화 난 밉다 밭 진빌레 밭 물메 밭 어멍아방 밭 밭 지정
5,개똥이네농장,http://tong.visitkorea.or.kr/cms/resource/62/3056962_image2_1.jpg,A02,A0203,A02030100,제주특별자치도 제주시 조천읍 종인내길 133,126.6227951824,33.4949185817,"제주 조천읍에 있는 개똥이네 농장은 귤을 마음껏 따서 먹고, 바구니 한가득 귤을 담아가는 체험농장이다. 8월부터 2월까지 감귤 체험을 운영하며, 계절별 꽃 농장을 운영하는데 핑크뮬리(9월 말~11월), 가을꽃(9월~11월), 동백정원(12월~1월), 수국정원(5월 말~7월 초)이 열린다. 또, 알파카, 말, 염소에게 먹이를 주는 동물체험도 있다. 다양한 체험활동이 가능하다. 부대 시설로 카페를 운영하고 있어 체험이 끝난 후 차 한 잔 마시며 힐링하는 여유를 가질 수 있는 곳이다. 주변 관광지로는 함덕해수욕장, 삼양해수욕장, 너븐숭이 4.3기념관 등이 있다.",3.4,(270),제주 조천읍에 있는 개똥이네 농장은 귤을 마음껏 따서 먹고 바구니 한가득 귤을 담아가는 체험농장이다 월부터 월까지 감귤 체험을 운영하며 계절별 꽃 농장을 운영하는데 핑크뮬리월 말월 가을꽃월월 동백정원월월 수국정원월 말월 초이 열린다 또 알파카 말 염소에게 먹이를 주는 동물체험도 있다 다양한 체험활동이 가능하다 부대 시설로 카페를 운영하고 있어 체험이 끝난 후 차 한 잔 마시며 힐링하는 여유를 가질 수 있는 곳이다 주변 관광지로는 함덕해수욕장 삼양해수욕장 너븐숭이 기념관 등이 있다,조천읍 개똥이 농장 귤 마음껏 바구니 귤 체험 농장 감귤 체험 운영 계절 별 꽃 농장 운영 핑크 뮬리월 말월 가을 꽃월월 백정원 월월 국정원 말월 초이 린다 또 알파카 말 염소 먹이 동물 체험 다양하다 체험 활동 가능하다 부대 시설 카페 운영 체험 차 잔 힐링 여유 주변 관광지 함덕 해수욕장 해수욕장 너븐숭 기념관
6,거린사슴전망대,http://tong.visitkorea.or.kr/cms/resource/57/3015757_image2_1.jpg,A02,A0205,A02050600,제주특별자치도 서귀포시 1100로 791 (대포동),126.4550112359,33.3062367724,"거린사슴오름의 기슭에 있는 전망대이다. 1100도로 서귀포자연휴양림에서 서귀포 방면으로 내려가다 보면 있다. 서귀포에서 야경을 볼 수 있는 곳들이 흔치 않고 밤에 오름을 올라가기에도 어려움이 있는데, 거린사슴전망대는 차로 바로 이동할 수 있어 야경을 즐기기에도 적합한 곳이다. 거린사슴전망대는 서귀포 시가지와 앞바다가 한눈에 들어오는 경치 좋은 곳으로, 서귀포 앞바다에 위치한 숲섬, 범섬, 문섬 들의 전경이 아름답게 펼쳐진다. 거린사슴오름은 한라산 중턱에 있는 오름 중에 사슴과 관련된 이름으로 지어진 오름 가운데 하나이며, 실제로 오름에는 사슴이 살았다고 전해지고 있다. 서귀포의 명승지들이 파노라마 형태로 표시해둔 사진에 잘 설명되어 있어 이해를 돕고 있다. 

이곳에 약 1km 정도 되는 아름다운 숲길인 거린사슴전망대 둘레길이 있는데 원래 민유림 임도로 사용했던 길을 정비하여 제주도민들과 관광객들을 위한 산책로를 조성한 것이다. 아직 많이 알려지지 않아 혼자 조용히 걷기 좋은 명상의 숲길이다. 소나무와 삼나무, 편백나무, 자연림이 한데 어울려 자라는 산책로를 걷다 보면 숲에서 뿜어져 나오는 맑고 신선한 공기는 몸과 마음을 정화시켜 준다. 이곳의 위치는 제주에서 단풍도 잘 드는 곳이라 가을 방문도 좋겠다. 거리가 짧아 노인이나 어린이들도 걷기에 적당한 코스여서 가족 산책길로도 추천한다.",4.3,"(1,074)",거린사슴오름의 기슭에 있는 전망대이다 도로 서귀포자연휴양림에서 서귀포 방면으로 내려가다 보면 있다 서귀포에서 야경을 볼 수 있는 곳들이 흔치 않고 밤에 오름을 올라가기에도 어려움이 있는데 거린사슴전망대는 차로 바로 이동할 수 있어 야경을 즐기기에도 적합한 곳이다 거린사슴전망대는 서귀포 시가지와 앞바다가 한눈에 들어오는 경치 좋은 곳으로 서귀포 앞바다에 위치한 숲섬 범섬 문섬 들의 전경이 아름답게 펼쳐진다 거린사슴오름은 한라산 중턱에 있는 오름 중에 사슴과 관련된 이름으로 지어진 오름 가운데 하나이며 실제로 오름에는 사슴이 살았다고 전해지고 있다 서귀포의 명승지들이 파노라마 형태로 표시해둔 사진에 잘 설명되어 있어 이해를 돕고 있다 이곳에 약  정도 되는 아름다운 숲길인 거린사슴전망대 둘레길이 있는데 원래 민유림 임도로 사용했던 길을 정비하여 제주도민들과 관광객들을 위한 산책로를 조성한 것이다 아직 많이 알려지지 않아 혼자 조용히 걷기 좋은 명상의 숲길이다 소나무와 삼나무 편백나무 자연림이 한데 어울려 자라는 산책로를 걷다 보면 숲에서 뿜어져 나오는 맑고 신선한 공기는 몸과 마음을 정화시켜 준다 이곳의 위치는 제주에서 단풍도 잘 드는 곳이라 가을 방문도 좋겠다 거리가 짧아 노인이나 어린이들도 걷기에 적당한 코스여서 가족 산책길로도 추천한다,거린 사슴 오름 기슭 전망대 도로 서귀포 자연휴양림 서귀포 방면 서귀포 야경 볼 치 밤 오름 어려움 거린 사슴 전망대 차로 바로 이동 야경 즐 기기 적합하다 거린 사슴 전망대 서귀포 시가지 앞바다 한눈 경치 서귀포 앞바다 위치 숲섬 범섬 섬 전경 아름답다 거린 사슴 오름 한라산 중턱 오름 사슴 관련 이름 오름 가운데 하나 실제 오름 사슴 서귀포 명승 파노라마 형태 표시 사진 설명 이해 약 정도 아름답다 숲길 거린 사슴 전망대 둘레길 원래 민 유림 임도 사용 길 정비 도민 관광객 산책로 조성 혼자 조용하다 걷기 명상 숲길 소나무 삼나무 편백나무 자연림 산책로 숲 뿜어져 맑다 신선하다 공기 몸 마음 정화 위치 단풍 가을 방문 거리 짧다 노인 어린이 걷기 적당하다 코스 가족 산책길 추천
7,건강과 성 박물관(제주),https://blog.kakaocdn.net/dn/Hh733/btrcA1znbC9/m3cFIkMBMYyJlnHe7WBiN1/img.gif,A02,A0206,A02060100,제주특별자치도 서귀포시 안덕면 일주서로 1611,126.3459024043,33.2549657152,"음지에 있는 성 인식을 양지로 끌어내고, 행위 위주의 국한 된 성이 아닌 성에 대한 문화, 교육, 예술 그리고 세대별 고민을 함께 나누고, 성에 대한 의식의 변화를 추구하고자 건강과 성 박물관은 설립되었다. 건강과 성 박물관은 전 세계 각지에서 성과 관련된 유물과 예술품 5,000여 점을 수집해 박물관을 꾸몄고 가벼운 성인 잡지에서 성과 관련된 전문 도서 등도 살펴볼 수 있다. 다양한 자료를 통해 성에 대해 학습할 수 있는 성인들만의 공간으로 성인만 입장 가능하다. 
건강과 성 박물관은 행위에 초점을 두지 않고 성과 삶을 조명하는 다양한 유물과 예술품을 전시하여 성이란 무엇인가 하는 근본적인 내용에 다가가고자 한다.",3.7,"(1,897)",음지에 있는 성 인식을 양지로 끌어내고 행위 위주의 국한 된 성이 아닌 성에 대한 문화 교육 예술 그리고 세대별 고민을 함께 나누고 성에 대한 의식의 변화를 추구하고자 건강과 성 박물관은 설립되었다 건강과 성 박물관은 전 세계 각지에서 성과 관련된 유물과 예술품 여 점을 수집해 박물관을 꾸몄고 가벼운 성인 잡지에서 성과 관련된 전문 도서 등도 살펴볼 수 있다 다양한 자료를 통해 성에 대해 학습할 수 있는 성인들만의 공간으로 성인만 입장 가능하다 건강과 성 박물관은 행위에 초점을 두지 않고 성과 삶을 조명하는 다양한 유물과 예술품을 전시하여 성이란 무엇인가 하는 근본적인 내용에 다가가고자 한다,음지 성 인식 양지 행위 위주 국한 성 성 대한 문화 교육 예술 대별 고민 성 대한 의식 변화 추구 건강 성 박물관 설립 건강 성 박물관 전 세계 각지 성과 관련 유물 예술 품 여 수집 박물관 가볍다 성인 잡지 성과 관련 전문 도서 다양하다 자료 통해 성 대해 학습 성인 공간 성인 입장 가능하다 건강 성 박물관 행위 초점 성과 삶 조명하 다양하다 유물 예술 품 전시 성 무엇 근본 내용
8,고스트타운,http://tong.visitkorea.or.kr/cms/resource/05/2759205_image2_1.jpg,A02,A0202,A02020600,제주특별자치도 제주시 애월읍 부룡수길 35-14,126.3568659412,33.4763969581,"해가 지고 밤이 되면 더 오싹하고 짜릿하게 느낄 수 있는 귀신의 집. 어두컴컴하고 으스스한 분위기 속에 담력 테스트를 해보고 싶은 사람들에 즐거운 시간을 제공한다. 국내 최초 5D로 VR 체험을 할 수 있다. 한밤중에 즐기는 공포 체험. 어렸을 때 한 번쯤은 해보았을 법한 분신사바 놀이처럼 저주받은 인형 체험도 있다. 데드 프리즌은 사방에서 달려드는 좀비에게 총을 쏘는 VR 체험, 유령 열차, VR 캡슐 등 다양한 체험 종목이 있다. 기괴하고 간담이 서늘한 공포와 스릴을 찾는다면 제격인 곳이다.		
※ 임산부, 노약자, 심혈관계 질환자는 출입을 금합니다.",3.6,(254),해가 지고 밤이 되면 더 오싹하고 짜릿하게 느낄 수 있는 귀신의 집 어두컴컴하고 으스스한 분위기 속에 담력 테스트를 해보고 싶은 사람들에 즐거운 시간을 제공한다 국내 최초 로  체험을 할 수 있다 한밤중에 즐기는 공포 체험 어렸을 때 한 번쯤은 해보았을 법한 분신사바 놀이처럼 저주받은 인형 체험도 있다 데드 프리즌은 사방에서 달려드는 좀비에게 총을 쏘는  체험 유령 열차  캡슐 등 다양한 체험 종목이 있다 기괴하고 간담이 서늘한 공포와 스릴을 찾는다면 제격인 곳이다 임산부 노약자 심혈관계 질환자는 출입을 금합니다,해 지고 밤 더 오싹하다 짜릿하다 귀신 집 어두컴컴하다 으스스하다 분위기 담력 테스트 사람 즐겁다 시간 제공 국내 최초 로 체험 한밤중 공포 체험 때 법 분신사바 놀이 인형 체험 데드 프리즌 사방 좀비 체험 유령 열차 캡슐 다양하다 체험 종목 기괴하다 간담 서늘하다 공포 스릴 제격 임산부 노약 심혈관계 질환 출입 금
9,고흐의정원,http://tong.visitkorea.or.kr/cms/resource/99/2639199_image2_1.jpg,A02,A0206,A02060300,제주특별자치도 서귀포시 삼달신풍로 126-5,126.8441009842,33.3734383381,"‘고흐의 정원’은 디지털 기술을 이용, 현대적 접근법을 사용해 작품을 재해석하여 살아 숨 쉬는 반 고흐작품을 경험할 수 있는 새로운 성격의 미술체험 전시를 제작하였다.
이 전시는 반 고흐의 작품이 주인공이 아닌 ‘인간 빈센트 반 고흐’가 주인공인 전시로, 그의 작품을 눈으로만 볼 수 있었던 기존의 전시와는 달리 반 고흐의 작품 보고 듣고 만질 수 있는 관객 참여형 체험 전시이다.",4.4,(478),고흐의 정원은 디지털 기술을 이용 현대적 접근법을 사용해 작품을 재해석하여 살아 숨 쉬는 반 고흐작품을 경험할 수 있는 새로운 성격의 미술체험 전시를 제작하였다이 전시는 반 고흐의 작품이 주인공이 아닌 인간 빈센트 반 고흐가 주인공인 전시로 그의 작품을 눈으로만 볼 수 있었던 기존의 전시와는 달리 반 고흐의 작품 보고 듣고 만질 수 있는 관객 참여형 체험 전시이다,고흐 정원 디지털 기술 이용 현대 접근 법 사용 작품 재 해석 살 숨 반 고흐 작품 경험 새롭다 성격 미술 체험 전시 제작 전시 반 고흐 작품 주인공 인간 빈센트 반 고흐 주인공 전시 작품 눈 볼 기존 전시 달리 반 고흐 작품 보고 관객 참여 체험 전시
