contentid,contenttypeid,title,createdtime,modifiedtime,tel,telname,homepage,booktour,firstimage,firstimage2,cpyrhtDivCd,cat1,cat2,cat3,addr1,addr2,zipcode,mapx,mapy,mlevel,overview
2850913,39,가는곶 세화,20220907142127,20240124150827,,,"<a href=""https://instagram.com/whisky_sehwa""target=""_blank"" title=""새창 : 가는곶 세화 사이트로 이동"">https://instagram.com/whisky_sehwa</a>",,http://tong.visitkorea.or.kr/cms/resource/08/2850908_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/2850908_image3_1.jpg,Type3,A05,A0502,A05020900,제주특별자치도 제주시 세화14길 3,,63361,126.8606961680,33.5205279098,6,"가는곶 세화는 제주특별자치도 제주시 구좌읍 세화리에 있다. ‘옆집으로 이사 가고 싶은 세화빵집’을 모토로 무화과, 단호박, 레몬 등 제주 농부가 지은 식재료를 이용해 소화에 부담 없는 빵을 만든다. 살짝 말린 토마토와 치즈를 넣은 에멘탈썬드라이토마토와 구운제주감자빵이 시그니처이며, 주말에는 ‘위스키, 세화’로 밤까지 운영한다. 근처 여행지로 세화해수욕장, 평대해변, 비자림 등이 있다."
2906155,39,가람,20221111131820,20221111131843,,,,,http://tong.visitkorea.or.kr/cms/resource/52/2906152_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2906152_image3_1.jpg,Type3,A05,A0502,A05020100,제주특별자치도 제주시 복지로북길 4,1층,63220,126.5206569716,33.4888787305,6,"가람은 KBS 제주방송총국 앞에 있다. 돌솥밥추어탕이 대표메뉴로 추어탕과 돌솥밥이 세트로 나온다. 양배추샐러드, 피클, 단호박 등 건강식 밑반찬이 함께 나오며 돌솥밥은 비빔밥으로 먹고, 누룽지를 만들어 먹을 수 있다. 추어탕은 들깨가루를 넣고 깔끔하게 끓여낸 구수한 보양식으로 방송국 사람들의 단골집이기도 하다. 여름 메뉴로는 녹차 독새기 콩국수가 있다. 주변 여행지로 민오름, 제주도민속자연사박물관 등이 있다."
2755053,39,가람돌솥밥,20211008202759,20231220151759,,,,,http://tong.visitkorea.or.kr/cms/resource/47/2755047_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2755047_image2_1.jpg,Type3,A05,A0502,A05020100,제주특별자치도 서귀포시 중문관광로 332,(대포동),63544,126.4313173340,33.2496843087,6,"중문관광로에 있는 가람돌솥밥은, 어릴 적 해녀이신 어머니가 물질하여 따온 신선한 재료를 얹어 주시던 기억이 생생해 그 정성과 마음을 담아 어머니의 마음을 나누려고 2003년에 문을 열었다. 깔끔한 밑반찬과 성게미역국 인기가 좋으며 모든 상차림에 전복 또는 활어회가 제공된다. 해물돌솥밥을 마가린과 간장에 비벼 먹을 수 있도록 준비해 둔 코너가 인상적이며, 친절한 사장님과 직원들이 항상 웃으며 응대한다. 서귀포에서 든든하게 아침밥을 챙겨 먹기 좋은 곳이다."
2650410,39,가문잔치,20200326203220,20220411173612,064-732-9886,가문잔치,,,http://tong.visitkorea.or.kr/cms/resource/77/2666377_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2666377_image2_1.jpg,Type3,A05,A0502,A05020100,제주특별자치도 서귀포시 칠십리로 191,,63597,126.5732606548,33.2465785631,6,제주특별자치도 서귀포시에 있는 바비큐 전문점이다. 대표메뉴는 흑돼지 목살구이이다. 흑돼지구이는 제주도의 대표적인 음식이다.
1866904,39,가시식당,20131204015159,20230221131133,064-787-1035,가시식당,,,,,,A05,A0502,A05020100,제주특별자치도 서귀포시 표선면 가시로565번길 22,,63623,126.7714466301,33.3531116357,6,가시식당은 가시보건진료소 인근에 자리 잡은 40년 이상의 전통을 자랑하는 순댓국 전문점이다. 실내는 편안한 가정집 분위기의 입식 홀 구조이다. 돼지 잡뼈를 넣고 우린 육수에 순대와 내장을 말아 뚝배기에 담아내는 순댓국과 철판 위에 은박지를 깔고 볶아먹는 돼지고기 두루치기가 인기메뉴이다.
2791481,39,가시아방국수,20211210183846,20231109105019,,,,,http://tong.visitkorea.or.kr/cms/resource/99/2800599_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2800599_image2_1.jpg,Type3,A05,A0502,A05020100,제주특별자치도 서귀포시 성산읍 섭지코지로 10,,63641,126.9180903016,33.4386517763,6,"성산읍에 자리하고 있는 가시아방 국수는 제주 특산 메뉴인 고기 국수를 주력으로 하는 맛집이다. 수요 미식회, 알쓸신잡 2, 6시 내 고향 등 다수의 TV 프로그램 출연하면서 맛으로는 이미 여러 차례 인증된 곳이다. 대표 메뉴인 고기 국수는 진한 육수에 부드럽고 노란 면, 고소한 돔베고기 고명이 조화롭다. 이외에도 비빔국수와 멸치국수 역시 이곳만의 감칠맛으로 인기 메뉴이다. 여러 메뉴를 한 번에 먹고 싶다면 세트 메뉴도 준비되어 있는데, 국수와 돔베고기 1/2을 함께 맛볼 수 있어 가성비 좋게 즐길 수 있다."
2837181,39,가시어멍김밥,20220816161254,20220916131956,,,"<a href=""http://www.가시어멍김밥.kr""target=""_blank"" title=""새창 : 가시어멍김밥 사이트로 이동"">http://www.가시어멍김밥.kr</a>",,http://tong.visitkorea.or.kr/cms/resource/75/2837175_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2837175_image3_1.jpg,Type3,A05,A0502,A05020100,제주특별자치도 제주시 월랑로 36,,63097,126.4763302701,33.4888641378,6,"가시어멍김밥은 제주특별자치도 제주시 노형동에 있는 분식집이다. 제주 공항과 10분 거리인 시내 중심가에 있어 공항 도착 전후의 한 끼 식사로 좋다. 가시어멍은 제주도 방언으로 장모님을 뜻한다. 제주 톳을 넣은 김밥으로 유명해지면서 지금은 전국에 체인점을 가진 가시어멍김밥의 본점이 되었다. 대표 메뉴는 톳김밥과 새우튀김을 넣은 새우깡 떡볶이고 비빔만두와 숙주라면, 한우 떡국도 많이 찾는다. 관광객의 경우 김밥을 포장하여 여행 다니는 사람들이 많다. 오전 7시에 영업을 시작해 아침식사를 하기에도 좋다. 가까운 곳에 이호테우 해변과, 내도 알작지 해변 등이 있다."
2805240,39,가파도별미식당,20220126112035,20240103131629,,,,,,,,A05,A0502,A05020100,제주특별자치도 서귀포시 대정읍 영서중로 59,,63510,126.2600494870,33.2215375052,6,가파도별미식당은 가파도 보릿가루로 반죽한 보말보리수제비와 보말죽 삼계탕이 대표 메뉴이다. 크림스프처럼 부드럽고 뜨끈한 보말죽 삼계탕은 환절기 몸보신으로 제격이다.
2853435,39,갈치공장,20220914152956,20220914153035,,,,,http://tong.visitkorea.or.kr/cms/resource/24/2853424_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/2853424_image3_1.jpg,Type3,A05,A0502,A05020100,제주특별자치도 제주시 해맞이해안로 1296,,63360,126.8509745258,33.5319348245,6,"갈치공장은 제주 평대리 해맞이해안로 바닷가에 있다. 카페 같은 분위기의 높은 천장과 깔끔한 인테리어, 통유리창을 통해 바다를 바라보며 갈치조림, 갈치통구이와 전복음식을 맛볼 수 있다. 가격도 관광지 고물가에 비하면 좋은 편으로 오후 4시 30분까지 영업을 하지만, 재료가 소진되면 영업을 종료해 원하는 메뉴를 먹지 못할 수 있다. 근처 여행지로 세화5일장, 평대해변, 세화해변, 월정해변 등이 있다."
2783304,39,갈치왕,20211130182304,20230905112225,,,"<a href=""https://kingfish1190.modoo.at/"" target=""_blank"" title=""새창 : 갈치왕 사이트로 이동"">https://kingfish1190.modoo.at/</a>",,http://tong.visitkorea.or.kr/cms/resource/91/2783691_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2783691_image2_1.jpg,Type3,A05,A0502,A05020100,제주특별자치도 서귀포시 일주서로 1146,(상예동),63534,126.3907760719,33.2646847924,6,"제주 갈치왕은 당일 서귀포항에서 경매한 신선한 갈치를 공수해 저렴한 가격으로 제공하는 갈치 요리 전문점이다. 통갈치 해물찜, 통갈치 구이, 가시 없는 갈치조림으로 메뉴의 선택 폭이 넓지는 않지만, 메뉴 주문 시 기본으로 제공되는 계절 음식, 간장게장, 갈치회, 전복 버터구이, 고등어구이와 밥이 나와 푸짐하게 즐길 수 있다. 통갈치 해물찜은 돌문어, 뿔소라, 키조개 등이 더 나온다. 가시 없는 갈치조림은 갈치왕 대표 메뉴로 순한 맛, 매운맛 선택이 가능하고 2인, 3인, 4인 구성으로 식사 주문 후 추가로 갈치구이, 조림 새우, 전복을 추가할 수 있다."
