,구분,행정구역코드,1단계,2단계,3단계,격자 X,격자 Y,경도(시),경도(분),경도(초),위도(시),위도(분),위도(초),경도(초/100),위도(초/100),위치업데이트,Distance
0,kor,5000000000,제주특별자치도,,,52,38,126,30,1.2,33,29,8.5,126.50033333333332,33.48569444444445,,14.800889447278271
1,kor,5011000000,제주특별자치도,제주시,,53,38,126,31,59.55,33,29,46.72,126.53320833333332,33.49631111111111,,13.515982166576014
2,kor,5011025000,제주특별자치도,제주시,한림읍,48,36,126,16,8.71,33,24,25.72,126.26908611111112,33.40714444444444,,26.61345309143881
3,kor,5011025300,제주특별자치도,제주시,애월읍,49,37,126,19,53.28,33,27,31.46,126.33146666666666,33.458738888888895,,23.46755110488495
4,kor,5011025600,제주특별자치도,제주시,구좌읍,59,38,126,51,14.67,33,31,9.61,126.854075,33.51933611111111,,11.446155381782049
5,kor,5011025900,제주특별자치도,제주시,조천읍,55,39,126,38,10.44,33,31,52.24,126.63623333333334,33.53117777777778,,11.151795067472392
6,kor,5011031000,제주특별자치도,제주시,한경면,46,35,126,11,9.67,33,20,50.64,126.18601944444444,33.3474,,31.52711374464565
7,kor,5011032000,제주특별자치도,제주시,추자면,48,48,126,17,46.11,33,57,34.1,126.29614166666668,33.959472222222225,,46.588519910739144
8,kor,5011033000,제주특별자치도,제주시,우도면,60,38,126,57,19.52,33,30,11.72,126.95542222222224,33.503255555555555,,15.16997294365702
9,kor,5011051000,제주특별자치도,제주시,일도1동,53,38,126,31,41.47,33,30,42.07,126.52818611111113,33.51168611111111,,14.354324898944515
10,kor,5011052000,제주특별자치도,제주시,일도2동,53,38,126,32,25.15,33,30,30.52,126.54031944444444,33.50847777777778,,13.65965629120015
11,kor,5011053000,제주특별자치도,제주시,이도1동,53,38,126,31,39.32,33,30,18.66,126.52758888888889,33.505183333333335,,14.124655138082662
12,kor,5011054000,제주특별자치도,제주시,이도2동,53,38,126,32,14.55,33,29,37.89,126.537375,33.493858333333336,,13.222366211176539
13,kor,5011055000,제주특별자치도,제주시,삼도1동,53,38,126,31,13.08,33,30,1.53,126.5203,33.500425,,14.295895494838074
14,kor,5011056000,제주특별자치도,제주시,삼도2동,53,38,126,31,26.08,33,30,30.19,126.5239111111111,33.50838611111111,,14.424465126184993
15,kor,5011057000,제주특별자치도,제주시,용담1동,52,38,126,30,56.47,33,30,22.85,126.51568611111112,33.506347222222225,,14.74028661546654
16,kor,5011058000,제주특별자치도,제주시,용담2동,52,38,126,30,49.44,33,30,29.69,126.51373333333332,33.508247222222224,,14.906208881347233
17,kor,5011059000,제주특별자치도,제주시,건입동,53,38,126,32,1.35,33,30,42.05,126.53370833333334,33.51168055555556,,14.097305046274219
18,kor,5011060000,제주특별자치도,제주시,화북동,53,38,126,34,2.79,33,31,1.1,126.56744166666668,33.51697222222222,,12.836666077831579
